Empresa,Região/Pais,Link,Presente_na_Super_Store
REWE Group,Germany,https://en.wikipedia.org/wiki/REWE_Group,Sim
Metro AG,Germany,https://en.wikipedia.org/wiki/Metro_AG,Sim
PrisXtra,Sweden,https://en.wikipedia.org/wiki/PrisXtra,Sim
Your Independent Grocer,Canada,https://en.wikipedia.org/wiki/Your_Independent_Grocer,Sim
Lojas Americanas,Brazil,https://en.wikipedia.org/wiki/Lojas_Americanas,Sim
Bompreço,Brazil,https://en.wikipedia.org/wiki/Bompre%C3%A7o,Sim
Cold Storage,Singapore,https://en.wikipedia.org/wiki/Cold_Storage_(supermarket),Sim
NTUC FairPrice,Singapore,https://en.wikipedia.org/wiki/NTUC_FairPrice,Sim
Giant (hypermarket),Malaysia,https://en.wikipedia.org/wiki/Giant_(hypermarket),Sim
Save-A-Lot,United States,https://en.wikipedia.org/wiki/Save-A-Lot,Sim
Bruno's,United States,https://en.wikipedia.org/wiki/Bruno%27s,Sim
Giant Food (Landover),United States,https://en.wikipedia.org/wiki/Giant_Food_(Landover),Sim
Tops Friendly Markets,United States,https://en.wikipedia.org/wiki/Tops_Friendly_Markets,Sim
Tops Supermarket,Thailand,https://en.wikipedia.org/wiki/Tops_Supermarket,Sim
99 Ranch Market,United States,https://en.wikipedia.org/wiki/99_Ranch_Market,Sim
Quinnsworth,Ireland,https://en.wikipedia.org/wiki/Quinnsworth,Sim
Pingo Doce,Portugal,https://en.wikipedia.org/wiki/Pingo_Doce,Sim
Booths,United Kingdom,https://en.wikipedia.org/wiki/Booths,Sim
Hong Kong Supermarket,United States,https://en.wikipedia.org/wiki/Hong_Kong_Supermarket,Sim
Food Basics,Canada,https://en.wikipedia.org/wiki/Food_Basics,Sim
A&P Canada,Canada,https://en.wikipedia.org/wiki/A%26P_Canada,Sim
No Frills,Canada,https://en.wikipedia.org/wiki/No_Frills_(grocery_store),Sim
Giant Eagle,United States,https://en.wikipedia.org/wiki/Giant_Eagle,Sim
Seafood City,United States,https://en.wikipedia.org/wiki/Seafood_City,Sim
Shun Fat Supermarket,United States,https://en.wikipedia.org/wiki/Shun_Fat_Supermarket,Sim
Publix,United States,https://en.wikipedia.org/wiki/Publix,Sim
EG Group,United Kingdom,https://en.wikipedia.org/wiki/EG_Group,Sim
Shoppers Food & Pharmacy,United States,https://en.wikipedia.org/wiki/Shoppers_Food_%26_Pharmacy,Sim
Farm Fresh Food & Pharmacy,United States,https://en.wikipedia.org/wiki/Farm_Fresh_Food_%26_Pharmacy,Sim
Acme Markets,United States,https://en.wikipedia.org/wiki/Acme_Markets,Sim
Super Saver Foods,United States,https://en.wikipedia.org/wiki/Super_Saver_Foods,Sim
Hy-Vee,United States,https://en.wikipedia.org/wiki/Hy-Vee,Sim
City Market,United States,https://en.wikipedia.org/wiki/City_Market_(US_grocery_store_chain),Sim
City Market (Mexico),Mexico,https://en.wikipedia.org/wiki/City_Market_(Mexico),Sim
Dillons,United States,https://en.wikipedia.org/wiki/Dillons,Sim
Hilander Foods,United States,https://en.wikipedia.org/wiki/Hilander_Foods,Sim
JayC Food Stores,United States,https://en.wikipedia.org/wiki/JayC_Food_Stores,Sim
City Market (US grocery store chain),United States,https://en.wikipedia.org/wiki/City_Market_(US_grocery_store_chain),Sim
Owen's Market,United States,https://en.wikipedia.org/wiki/Owen%27s_Market,Sim
Carr's,United Kingdom,https://en.wikipedia.org/wiki/Carr%27s,Sim
Delhaize Group,Belgium,https://en.wikipedia.org/wiki/Delhaize_Group,Sim
Real,Germany,https://en.wikipedia.org/wiki/Mein_Real,Sim
Castorama,France,https://en.wikipedia.org/wiki/Castorama,Sim
Nomi,Poland,https://en.wikipedia.org/wiki/Nomi_(retail_chain),Sim
MediaMarkt,Germany,https://en.wikipedia.org/wiki/MediaMarkt,Sim
IKEA,Sweden,https://en.wikipedia.org/wiki/IKEA,Sim
Office Depot,United States,https://en.wikipedia.org/wiki/Office_Depot,Sim
Albert Czech Republic,Czech Republic,https://en.wikipedia.org/wiki/Albert_Czech_Republic,Sim
Biedronka,Poland,https://en.wikipedia.org/wiki/Biedronka,Sim
Scott's Food & Pharmacy,United States,https://en.wikipedia.org/wiki/Scott%27s_Food_%26_Pharmacy,Sim
Tempo Centar,Serbia,https://en.wikipedia.org/wiki/Tempo_Centar,Não
Extra,Norway,https://en.wikipedia.org/wiki/Extra_(Coop),Sim
Coop Forum,Sweden,https://en.wikipedia.org/wiki/Coop_Forum,Sim
Pressbyrån,Sweden,https://en.wikipedia.org/wiki/Pressbyr%C3%A5n,Sim
Continente,Portugal,https://en.wikipedia.org/wiki/Continente_(supermarket),Sim
Sonae,Portugal,https://en.wikipedia.org/wiki/Sonae,Sim
Ultra Food & Drug,Canada,https://en.wikipedia.org/wiki/Ultra_Food_%26_Drug,Sim
Tesco Ireland,Ireland,https://en.wikipedia.org/wiki/Tesco_Ireland,Sim
Caprabo,Spain,https://en.wikipedia.org/wiki/Caprabo,Sim
Julius Meinl,Austria,https://en.wikipedia.org/wiki/Julius_Meinl,Sim
Centra,Ireland,https://en.wikipedia.org/wiki/Centra,Sim
The Cope,Ireland,https://en.wikipedia.org/wiki/The_Cope,Sim
Fortinos,Canada,https://en.wikipedia.org/wiki/Fortinos,Sim
Les Mousquetaires,France,https://en.wikipedia.org/wiki/Les_Mousquetaires,Sim
Alcampo,Spain,https://en.wikipedia.org/wiki/Alcampo,Sim
Daiei,Japan,https://en.wikipedia.org/wiki/Daiei,Sim
Aurrerá,Mexico,https://en.wikipedia.org/wiki/Aurrer%C3%A1,Sim
Soriana,Mexico,https://en.wikipedia.org/wiki/Soriana,Sim
Comercial Mexicana,Mexico,https://en.wikipedia.org/wiki/Comercial_Mexicana,Sim
Kingfisher plc,United Kingdom,https://en.wikipedia.org/wiki/Kingfisher_plc,Sim
S Group,Finland,https://en.wikipedia.org/wiki/S_Group,Sim
Overwaitea Foods,Canada,https://en.wikipedia.org/wiki/Overwaitea_Foods,Sim
Kopeyka,Russia,https://en.wikipedia.org/wiki/Kopeyka_(supermarket),Sim
Pyaterochka,Russia,https://en.wikipedia.org/wiki/Pyaterochka,Sim
Seiyu Group,Japan,https://en.wikipedia.org/wiki/Seiyu_Group,Sim
Albert Heijn,Netherlands,https://en.wikipedia.org/wiki/Albert_Heijn,Sim
Save-On-Foods,Canada,https://en.wikipedia.org/wiki/Save-On-Foods,Sim
Nakumatt,Kenya,https://en.wikipedia.org/wiki/Nakumatt,Sim
Uchumi,Kenya,https://en.wikipedia.org/wiki/Uchumi_Supermarkets,Sim
Coin,Italy,https://en.wikipedia.org/wiki/Coin_(department_store),Sim
UPIM,Italy,https://en.wikipedia.org/wiki/UPIM,Sim
Watsons,Hong Kong,https://en.wikipedia.org/wiki/Watsons,Sim
Circle K,United States,https://en.wikipedia.org/wiki/Circle_K,Sim
Hero,Indonesia,https://en.wikipedia.org/wiki/Hero_(supermarket),Sim
Sogo,Japan,https://en.wikipedia.org/wiki/Sogo,Sim
Yaohan,Japan,https://en.wikipedia.org/wiki/Yaohan,Sim
